snapshot_date,metric,timestamp,count,uniques
2026-08-11,views,2026-07-27T00:00:00Z,36,2
2026-08-11,views,2026-07-28T00:00:00Z,5,2
2026-08-11,views,2026-07-29T00:00:00Z,7,2
2026-08-11,views,2026-07-30T00:00:00Z,15,3
2026-08-11,views,2026-07-31T00:00:00Z,8,4
2026-08-11,views,2026-08-01T00:00:00Z,0,0
2026-08-11,views,2026-08-02T00:00:00Z,3,1
2026-08-11,views,2026-08-03T00:00:00Z,25,5
2026-08-11,views,2026-08-04T00:00:00Z,24,5
2026-08-11,views,2026-08-05T00:00:00Z,21,6
2026-08-11,views,2026-08-06T00:00:00Z,63,6
2026-08-11,views,2026-08-07T00:00:00Z,56,2
2026-08-11,views,2026-08-08T00:00:00Z,2,2
2026-08-11,views,2026-08-09T00:00:00Z,7,2
2026-08-11,clones,2026-07-27T00:00:00Z,7,7
2026-08-11,clones,2026-07-28T00:00:00Z,13,9
2026-08-11,clones,2026-07-29T00:00:00Z,9,8
2026-08-11,clones,2026-07-30T00:00:00Z,12,7
2026-08-11,clones,2026-07-31T00:00:00Z,10,6
2026-08-11,clones,2026-08-01T00:00:00Z,14,8
2026-08-11,clones,2026-08-02T00:00:00Z,3,3
2026-08-11,clones,2026-08-03T00:00:00Z,11,6
2026-08-11,clones,2026-08-04T00:00:00Z,6,6
2026-08-11,clones,2026-08-05T00:00:00Z,5,5
2026-08-11,clones,2026-08-06T00:00:00Z,9,7
2026-08-11,clones,2026-08-07T00:00:00Z,4,4
2026-08-11,clones,2026-08-08T00:00:00Z,3,3
2026-08-11,clones,2026-08-09T00:00:00Z,14,10
